iter	RMSE
0	14.92175267
1	14.81893277
2	14.72223553
3	14.62637811
4	14.53795229
5	14.45459208
6	14.37007077
7	14.29153545
8	14.21430276
9	14.14087016
10	14.05302899
11	13.96482777
12	13.8858031
13	13.79779074
14	13.72663988
15	13.63892399
16	13.55683766
17	13.47440186
18	13.39307806
19	13.31116134
20	13.23559616
21	13.14805593
22	13.08633362
23	13.0093514
24	12.93198545
25	12.8588204
26	12.78435086
27	12.70627002
28	12.62574468
29	12.55433728
30	12.4818801
31	12.40753967
32	12.33590642
33	12.27274299
34	12.19995096
35	12.14020403
36	12.06990018
37	12.00840642
38	11.93653337
39	11.87996958
40	11.81736255
41	11.75965297
42	11.69411305
43	11.63301665
44	11.57539118
45	11.51201352
46	11.45349799
47	11.40198625
48	11.33796564
49	11.27304285
50	11.21961935
51	11.16607526
52	11.10787033
53	11.05185687
54	10.99227215
55	10.93559611
56	10.88355091
57	10.83322247
58	10.78179425
59	10.72441361
60	10.66811215
61	10.61984122
62	10.57002202
63	10.51464516
64	10.46119105
65	10.40935525
66	10.36057928
67	10.30729485
68	10.26328698
69	10.21641317
70	10.16266629
71	10.11697814
72	10.07111158
73	10.02818589
74	9.98844971
75	9.9485692
76	9.908332558
77	9.856544861
78	9.804385405
79	9.760269518
80	9.712714182
81	9.664466567
82	9.625831767
83	9.580278811
84	9.543289881
85	9.502300236
86	9.46343006
87	9.426994635
88	9.391480178
89	9.354603105
90	9.31431297
91	9.271672329
92	9.233611449
93	9.191619669
94	9.15052752
95	9.117814559
96	9.085941047
97	9.051214547
98	9.010595246
99	8.975238398
100	8.944664459
101	8.909134332
102	8.870737679
103	8.831961253
104	8.799854601
105	8.769750018
106	8.732581938
107	8.703412304
108	8.667933501
109	8.632780248
110	8.599855131
111	8.565117165
112	8.532336737
113	8.500617647
114	8.466697434
115	8.437478374
116	8.405667712
117	8.378236756
118	8.350274995
119	8.319220874
120	8.294031936
121	8.265125762
122	8.235311086
123	8.206695874
124	8.175651324
125	8.145039867
126	8.115062352
127	8.091674634
128	8.062579382
129	8.031919183
130	8.003173045
131	7.974665289
132	7.946861949
133	7.918572463
134	7.892338973
135	7.868407156
136	7.843209504
137	7.819324907
138	7.792319099
139	7.767637148
140	7.742803279
141	7.720080379
142	7.697354524
143	7.675823963
144	7.652810907
145	7.628255069
146	7.603558502
147	7.582763416
148	7.557633792
149	7.541980575
150	7.52412252
151	7.502867002
152	7.483840074
153	7.46204081
154	7.440491263
155	7.418816796
156	7.399210428
157	7.377623374
158	7.358780116
159	7.342002955
160	7.321246376
161	7.303456946
162	7.283599157
163	7.264700256
164	7.245134743
165	7.228720323
166	7.211178404
167	7.191734694
168	7.175806284
169	7.156848609
170	7.143184323
171	7.127012695
172	7.107140459
173	7.089232179
174	7.0706032
175	7.05784429
176	7.042939648
177	7.025569933
178	7.013696389
179	6.997558675
180	6.983323205
181	6.969392752
182	6.951694489
183	6.935745091
184	6.919927414
185	6.905849128
186	6.892717664
187	6.879197707
188	6.866318483
189	6.853099522
190	6.840250269
191	6.824169728
192	6.809280301
193	6.795244794
194	6.781326883
195	6.76728786
196	6.756284883
197	6.74348504
198	6.730609058
199	6.717727463
200	6.703241885
201	6.689984896
202	6.678389815
203	6.665774737
204	6.652283644
205	6.640365821
206	6.627632327
207	6.616547304
208	6.603803886
209	6.590061375
210	6.578573194
211	6.565746819
212	6.554383808
213	6.542548356
214	6.53055652
215	6.521735013
216	6.51059556
217	6.501339996
218	6.492506532
219	6.481606579
220	6.471335686
221	6.460364368
222	6.450517029
223	6.439672757
224	6.428807624
225	6.41748886
226	6.407255085
227	6.396287266
228	6.386078397
229	6.376490341
230	6.368023692
231	6.357782203
232	6.347089091
233	6.337536751
234	6.329820022
235	6.319767641
236	6.311289182
237	6.30096401
238	6.291392826
239	6.283116506
240	6.27443574
241	6.265993855
242	6.256524271
243	6.248237378
244	6.241094603
245	6.232179737
246	6.22569931
247	6.218184024
248	6.211093436
249	6.201770732
250	6.19470129
251	6.18539433
252	6.176785154
253	6.168881717
254	6.161815291
255	6.154169235
256	6.14729779
257	6.139566191
258	6.132394213
259	6.125375371
260	6.118299608
261	6.11107436
262	6.10442404
263	6.097841428
264	6.091547412
265	6.084879833
266	6.07933376
267	6.072407304
268	6.065655311
269	6.059350378
270	6.052598127
271	6.046367132
272	6.040507155
273	6.033915444
274	6.028010841
275	6.021835471
276	6.015050337
277	6.008325402
278	6.002943619
279	5.997557561
280	5.992920076
281	5.987421106
282	5.982948748
283	5.976722126
284	5.969972698
285	5.965309992
286	5.959594355
287	5.953069517
288	5.947502044
289	5.941390638
290	5.936031326
291	5.931327831
292	5.925557713
293	5.920322668
294	5.91554563
295	5.910903495
296	5.905190852
297	5.900784489
298	5.895271264
299	5.889807032
300	5.88592673
301	5.879313989
302	5.873438348
303	5.869112303
304	5.863996631
305	5.860001652
306	5.856450283
307	5.850147551
308	5.845858604
309	5.840090373
310	5.835362758
311	5.831133377
312	5.825815098
313	5.821817506
314	5.816756673
315	5.812201993
316	5.807383104
317	5.804683
318	5.800669193
319	5.797870357
320	5.793829261
321	5.790416579
322	5.786701616
323	5.782467062
324	5.77894334
325	5.77418872
326	5.769826851
327	5.765951969
328	5.761578154
329	5.758174111
330	5.753800287
331	5.749597451
332	5.746051319
333	5.742192706
334	5.738822367
335	5.735650129
336	5.732246019
337	5.729759958
338	5.726316113
339	5.722796812
340	5.718563974
341	5.714797337
342	5.71090435
343	5.707278503
344	5.704244443
345	5.700139909
346	5.697600737
347	5.693976947
348	5.689911384
349	5.686235318
350	5.682826327
351	5.680365904
352	5.677214331
353	5.674332381
354	5.671220589
355	5.668016422
356	5.665355008
357	5.662099161
358	5.658878148
359	5.65602322
360	5.65228436
361	5.649389694
362	5.646328684
363	5.642667522
364	5.639691692
365	5.637029789
366	5.633546566
367	5.630326365
368	5.627335815
369	5.623526044
370	5.620440912
371	5.618354595
372	5.61402968
373	5.609982881
374	5.608003827
375	5.605488774
376	5.603028677
377	5.600451563
378	5.597795683
379	5.595887861
380	5.593881829
381	5.590545102
382	5.588581076
383	5.5848724
384	5.5818853
385	5.579050595
386	5.575968489
387	5.57221947
388	5.568926285
389	5.566336729
390	5.564145946
391	5.562203807
392	5.56050431
393	5.557800292
394	5.555187155
395	5.553771876
396	5.551725052
397	5.54946174
398	5.5474264
399	5.544258931
400	5.542514534
401	5.539675988
402	5.536244448
403	5.53446643
404	5.531953991
405	5.529975335
406	5.528491921
407	5.525639968
408	5.523597317
409	5.52081904
410	5.519040555
411	5.516830899
412	5.514005151
413	5.512659156
414	5.510950453
415	5.508916599
416	5.507122884
417	5.504970441
418	5.502333415
419	5.499801293
420	5.4981183
421	5.495016648
422	5.492773539
423	5.490877852
424	5.489020006
425	5.487101996
426	5.484062628
427	5.482312535
428	5.480072166
429	5.477471452
430	5.475566076
431	5.474016317
432	5.471846901
433	5.470208972
434	5.468718423
435	5.466233626
436	5.465417652
437	5.464053438
438	5.462112461
439	5.45987715
440	5.457926232
441	5.456515065
442	5.455227394
443	5.452983781
444	5.451492758
445	5.44936952
446	5.448116979
447	5.446733235
448	5.44559312
449	5.444174874
450	5.442863757
451	5.441735051
452	5.440142287
453	5.438734305
454	5.437084139
455	5.435678913
456	5.434014303
457	5.432496769
458	5.430708271
459	5.428376707
460	5.427143513
461	5.425330854
462	5.423014836
463	5.420675032
464	5.419085244
465	5.417355819
466	5.415480463
467	5.4132275
468	5.411693076
469	5.409394663
470	5.407580959
471	5.406461978
472	5.405323907
473	5.403626886
474	5.401751372
475	5.399819585
476	5.398167358
477	5.396535892
478	5.395151325
479	5.393638762
480	5.391788355
481	5.390227281
482	5.388279519
483	5.387036041
484	5.385499938
485	5.384396077
486	5.383344258
487	5.381691954
488	5.38009636
489	5.378543801
490	5.377732329
491	5.37652373
492	5.374758625
493	5.373682337
494	5.372636753
495	5.371218529
496	5.369709286
497	5.368668098
498	5.366937178
499	5.365396499
500	5.36380059
501	5.362466614
502	5.361310081
503	5.359654839
504	5.358238491
505	5.357099151
506	5.355721596
507	5.35444151
508	5.352426339
509	5.350741997
510	5.349876523
511	5.348831788
512	5.348155626
513	5.345737631
514	5.344339865
515	5.343417807
516	5.342135297
517	5.341535003
518	5.339879278
519	5.338679987
520	5.337605609
521	5.336671911
522	5.335370223
523	5.334477218
524	5.333446907
525	5.332137955
526	5.331041389
527	5.330159849
528	5.32920488
529	5.327495711
530	5.325894628
531	5.324838695
532	5.323086793
533	5.321807975
534	5.320879523
535	5.319634052
536	5.318682525
537	5.317480728
538	5.316586497
539	5.315678621
540	5.314669041
541	5.313575755
542	5.312502152
543	5.311632923
544	5.310806963
545	5.309728038
546	5.308912957
547	5.30763599
548	5.306465862
549	5.305553914
550	5.304380702
551	5.303086589
552	5.302172751
553	5.300872463
554	5.300163563
555	5.299211626
556	5.297244494
557	5.296141667
558	5.294958303
559	5.293782083
560	5.292946657
561	5.292233094
562	5.290463675
563	5.289613234
564	5.288830403
565	5.287946582
566	5.286872918
567	5.286193958
568	5.285359709
569	5.284237016
570	5.283032909
571	5.281888113
572	5.280924176
573	5.280214841
574	5.279008923
575	5.277725482
576	5.276937635
577	5.276004851
578	5.275418514
579	5.274395704
580	5.273235928
581	5.2725295
582	5.271667593
583	5.270930751
584	5.269807573
585	5.268784241
586	5.267868143
587	5.266798326
588	5.266222791
589	5.265473634
590	5.26463104
591	5.263883126
592	5.262813103
593	5.261925117
594	5.261277535
595	5.260866246
596	5.260139364
597	5.259426283
598	5.257665003
599	5.256419389
600	5.255836386
601	5.25490921
602	5.253910024
603	5.253303
604	5.252616347
605	5.251719894
606	5.250711874
607	5.249993544
608	5.249537768
609	5.24862613
610	5.247289394
611	5.246196515
612	5.245692872
613	5.244494266
614	5.243552014
615	5.243151659
616	5.242482266
617	5.241506607
618	5.240697688
619	5.2400694
620	5.239430286
621	5.238802016
622	5.23716205
623	5.236248781
624	5.235430105
625	5.234908207
626	5.23383557
627	5.233026033
628	5.23236538
629	5.23171925
630	5.230291615
631	5.229817995
632	5.229304497
633	5.228281333
634	5.227864398
635	5.227097227
636	5.226016191
637	5.22541474
638	5.223945224
639	5.223408172
640	5.223027515
641	5.222485228
642	5.221915227
643	5.220238565
644	5.219197707
645	5.21785949
646	5.216820048
647	5.216042514
648	5.215653348
649	5.215095855
650	5.214640615
651	5.214039317
652	5.21315661
653	5.212507731
654	5.211764015
655	5.211022111
656	5.210659951
657	5.209584615
658	5.208538983
659	5.207779864
660	5.206968693
661	5.206237472
662	5.205447413
663	5.204296824
664	5.203533404
665	5.202684663
666	5.201324667
667	5.200599356
668	5.200057501
669	5.199699235
670	5.199139453
671	5.197713917
672	5.196893888
673	5.195700073
674	5.195410028
675	5.194320085
676	5.193503224
677	5.192870433
678	5.191541173
679	5.190814166
680	5.189855817
681	5.189085642
682	5.188484459
683	5.187313399
684	5.186877564
685	5.185961986
686	5.18432342
687	5.183885371
688	5.183261551
689	5.182009747
690	5.180565494
691	5.179868255
692	5.179271064
693	5.178598335
694	5.177804739
695	5.176984902
696	5.176326859
697	5.175818059
698	5.175008774
699	5.174197631
700	5.173091985
701	5.172621808
702	5.171736548
703	5.171144243
704	5.170535863
705	5.169573786
706	5.168845372
707	5.168322921
708	5.167677329
709	5.167170617
710	5.165803542
711	5.164978829
712	5.164181927
713	5.163472202
714	5.162876969
715	5.16224186
716	5.161527511
717	5.160950075
718	5.159835159
719	5.159583749
720	5.158950035
721	5.158143567
722	5.156928758
723	5.156386648
724	5.155372856
725	5.154627476
726	5.153766284
727	5.153069296
728	5.152693206
729	5.152244512
730	5.150918374
731	5.149671059
732	5.14874505
733	5.148274336
734	5.147866821
735	5.147243192
736	5.146611047
737	5.146209707
738	5.14559315
739	5.144892234
740	5.144177528
741	5.14379191
742	5.143364359
